N,종목명,현재가,전일비,등락률,액면가,거래량,시가,고가,저가,외국인비율
770.0,미래에셋글로벌리츠,3870.0,10.0,+0.26%,1000.0,15588.0,3875.0,3875.0,3850.0,1.03
771.0,한진중공업홀딩스,3800.0,80.0,-2.06%,5000.0,53227.0,3885.0,3885.0,3780.0,1.59
772.0,기신정기,3840.0,15.0,+0.39%,500.0,24265.0,3820.0,3840.0,3815.0,64.2
773.0,KODEX 미국나스닥100선물(H),14860.0,185.0,+1.26%,0.0,54558.0,14855.0,14880.0,14820.0,0.43
774.0,SG세계물산,548.0,3.0,-0.54%,500.0,197232.0,557.0,557.0,545.0,1.62
775.0,KTOP K200액티브,9855.0,25.0,+0.25%,0.0,21358.0,9880.0,9890.0,9815.0,0.0
776.0,KODEX 차이나CSI300,12735.0,35.0,-0.27%,0.0,37213.0,12780.0,12850.0,12625.0,0.0
777.0,한화솔루션우,38050.0,0.0,0.00%,5000.0,0.0,0.0,0.0,0.0,6.12
778.0,KBSTAR 25-11 회사채(AA-이상)액티브,52315.0,95.0,+0.18%,0.0,13798.0,52205.0,52315.0,52155.0,0.06
779.0,유니드비티플러스,10130.0,160.0,-1.55%,1000.0,3696858.0,10080.0,11080.0,9690.0,8.01
780.0,에이플러스에셋,4750.0,5.0,+0.11%,500.0,92803.0,4745.0,4870.0,4700.0,0.82
781.0,대양금속,3210.0,60.0,-1.83%,500.0,252251.0,3310.0,3310.0,3200.0,0.73
